UpravnaEnota;2016;2017;2018
Ajdovšèina;24661;24792;24747
Brežice;24216;24143;24089
Celje;64421;64600;64888
Cerknica;16866;16861;16770
Èrnomelj;18197;18096;18059
Domžale;58091;58537;58937
Dravograd;8932;8857;8787
Gornja Radgona;20034;19989;19890
Grosuplje;40127;40634;41081
Hrastnik;9314;9210;9191
Idrija;16508;16390;16314
Ilirska Bistrica;13523;13431;13313
Izola;15920;16009;16099
Jesenice;30362;30347;30437
Kamnik;35440;35568;35751
Koèevje;16974;16828;16694
Koper;54367;54846;55044
Kranj;81718;81799;81640
Krško;28362;28243;28275
Laško;17440;17332;17230
Lenart;19284;19285;19338
Lendava;22678;22520;22464
Litija;20981;21111;21149
Ljubljana;359949;360870;363167
Ljutomer;17663;17554;17473
Logatec;13815;13919;14048
Metlika;8354;8355;8345
Mozirje;16110;16045;16085
Murska Sobota;55443;55241;54822
Nova Gorica;58301;58131;58035
Novo mesto;64185;64348;64825
Ormož;16348;16199;16066
Piran;17823;17667;17613
Postojna;22204;22255;22232
Ptuj;68294;68478;68609
Radlje ob Dravi;15803;15812;15766
Radovljica;34776;34758;34616
Ravne na Koroškem;24999;24975;24917
Ribnica;13434;13408;13441
Sevnica;18098;18104;18111
Sežana;25083;25224;25329
Slovenj Gradec;21276;21173;21133
Slovenska Bistrica;35997;36013;36077
Slovenske Konjice;23357;23450;23611
Šentjur pri Celju;19983;20012;19992
Škofja Loka;41959;41997;42091
Šmarje pri Jelšah;32183;32120;32194
Tolmin;18461;18401;18257
Trbovlje;16282;16149;16041
Trebnje;20913;21087;21409
Tržiè;14839;14804;14784
Velenje;44728;44757;44896
Vrhnika;24705;25062;25173
Zagorje ob Savi;16655;16566;16476
Žalec;42235;42354;42359
Maribor;147739;147720;148215
Pesnica;19151;19123;19103
Ruše;14680;14602;14552
